doc_id,career_id,stage_id,area_id,text
cloud_backend_lang_basics,cloud_architect,stage_1_cloud_foundation,cloud_programming_basics,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 1 - Nền tảng lập trình và hệ thống
Lĩnh vực: Lập trình cho backend
Mục: 
Mô tả: REST API đơn giản, JSON, xử lý request response.
Tags: 
Kỳ khuyến nghị: [1, 2]"
cloud_linux_basics,cloud_architect,stage_1_cloud_foundation,cloud_systems_network_basics,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 1 - Nền tảng lập trình và hệ thống
Lĩnh vực: Hệ điều hành và mạng
Mục: 
Mô tả: Command line, process, user, permission cơ bản.
Tags: 
Kỳ khuyến nghị: [1, 2]"
cloud_networking_basics,cloud_architect,stage_1_cloud_foundation,cloud_systems_network_basics,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 1 - Nền tảng lập trình và hệ thống
Lĩnh vực: Hệ điều hành và mạng
Mục: 
Mô tả: TCP IP, DNS, load balancer, firewall ở mức khái niệm.
Tags: 
Kỳ khuyến nghị: [1, 2]"
cloud_compute_basics,cloud_architect,stage_2_cloud_core,cloud_core_services,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 2 - Core Cloud Services
Lĩnh vực: Dịch vụ compute, storage và network
Mục: 
Mô tả: Máy ảo, container, autoscaling ở mức khái niệm.
Tags: 
Kỳ khuyến nghị: [3, 4]"
cloud_storage_basics,cloud_architect,stage_2_cloud_core,cloud_core_services,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 2 - Core Cloud Services
Lĩnh vực: Dịch vụ compute, storage và network
Mục: 
Mô tả: Object storage, block storage, managed relational database.
Tags: 
Kỳ khuyến nghị: [3, 4]"
cloud_networking_services,cloud_architect,stage_2_cloud_core,cloud_core_services,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 2 - Core Cloud Services
Lĩnh vực: Dịch vụ compute, storage và network
Mục: 
Mô tả: Thiết kế mạng ảo, route table, security group ở mức cơ bản.
Tags: 
Kỳ khuyến nghị: [3, 4]"
cloud_iac_basics,cloud_architect,stage_2_cloud_core,cloud_infra_as_code,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 2 - Core Cloud Services
Lĩnh vực: Hạ tầng như mã
Mục: 
Mô tả: Mô tả hạ tầng bằng Terraform hoặc cloud native template mức cơ bản.
Tags: 
Kỳ khuyến nghị: [3, 4]"
cloud_microservices_intro,cloud_architect,stage_3_cloud_advanced,cloud_architecture_patterns,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 3 - Kiến trúc, bảo mật và reliability
Lĩnh vực: Mẫu kiến trúc cloud
Mục: 
Mô tả: Tách dịch vụ, giao tiếp qua API và gateway.
Tags: 
Kỳ khuyến nghị: [5, 6]"
cloud_event_driven_patterns,cloud_architect,stage_3_cloud_advanced,cloud_architecture_patterns,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 3 - Kiến trúc, bảo mật và reliability
Lĩnh vực: Mẫu kiến trúc cloud
Mục: 
Mô tả: Message queue, pub sub, eventual consistency.
Tags: 
Kỳ khuyến nghị: [5, 6]"
cloud_security_basics,cloud_architect,stage_3_cloud_advanced,cloud_security_reliability,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 3 - Kiến trúc, bảo mật và reliability
Lĩnh vực: Bảo mật và reliability
Mục: 
Mô tả: Identity and access management, principle of least privilege.
Tags: 
Kỳ khuyến nghị: [5, 6]"
cloud_reliability_basics,cloud_architect,stage_3_cloud_advanced,cloud_security_reliability,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 3 - Kiến trúc, bảo mật và reliability
Lĩnh vực: Bảo mật và reliability
Mục: 
Mô tả: Multi zone, backup strategy, monitoring ở mức khái niệm.
Tags: 
Kỳ khuyến nghị: [5, 6]"
cloud_capstone_project,cloud_architect,stage_4_cloud_career,cloud_capstone_area,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 4 - Thiết kế kiến trúc end to end và phỏng vấn
Lĩnh vực: Dự án kiến trúc cloud capstone
Mục: 
Mô tả: Thiết kế kiến trúc hệ thống gồm frontend, backend, database, network và security trên cloud cho một ứng dụng web ở quy mô vừa.
Tags: 
Kỳ khuyến nghị: [7, 8]"
cloud_interview_system_design,cloud_architect,stage_4_cloud_career,cloud_career_preparation,"Nghề: Cloud Architect (cloud_architect)
Giai đoạn: Giai đoạn 4 - Thiết kế kiến trúc end to end và phỏng vấn
Lĩnh vực: Chuẩn bị phỏng vấn Cloud Architect
Mục: 
Mô tả: Luyện thiết kế các hệ thống phổ biến: social feed, file storage, streaming log.
Tags: 
Kỳ khuyến nghị: [7, 8]"
